,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
90,18,2023-07-03,20:00,Série A,Rodada da semana 13,seg,Em casa,D,1.0,2.0,Coritiba,1.9,0.9,63.0,10.394,Tadeu,4-2-3-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Serrinha,Goias
91,0,2023-04-16,18:30,Série A,Rodada da semana 1,dom,Em casa,V,1.0,0.0,Santos,1.6,1.2,45.0,,Walter Kannemann,4-2-3-1,Wilton Sampaio,Relatório da Partida,Alfredo Jaconi,Gremio
92,3,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,E,3.0,3.0,Bragantino,1.7,1.8,42.0,,Luis Suárez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Arena do Grêmio,Gremio
93,5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,0.0,0.0,Fortaleza,0.8,0.6,57.0,17.396,Walter Kannemann,4-2-3-1,Bruno Mota Correia,Relatório da Partida,Arena do Grêmio,Gremio
94,6,2023-05-21,18:30,Série A,Rodada da semana 7,dom,Em casa,V,3.0,1.0,Internacional,1.7,1.5,30.0,39.438,Walter Kannemann,3-4-3,Flavio Rodrigues de Souza,Relatório da Partida,Arena do Grêmio,Gremio
95,8,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2.0,1.0,São Paulo,1.9,1.1,40.0,,Walter Kannemann,3-4-3,Wilton Sampaio,Relatório da Partida,Arena do Grêmio,Gremio
96,10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,V,3.0,1.0,América (MG),2.4,0.8,72.0,,Luis Suárez,4-2-3-1,Edina Alves Batista,Relatório da Partida,Arena do Grêmio,Gremio
97,11,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,V,5.0,1.0,Coritiba,3.4,1.1,50.0,37.048,Walter Kannemann,4-2-3-1,João Vitor Gobi,Relatório da Partida,Arena do Grêmio,Gremio
98,3,2023-04-23,11:00,Série A,Rodada da semana 2,dom,Em casa,V,2.0,1.0,Flamengo,1.1,1.5,36.0,,Alan Patrick,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Beira-Rio,Internacional
99,4,2023-04-30,18:30,Série A,Rodada da semana 3,dom,Em casa,V,1.0,0.0,Goiás,0.9,0.8,57.0,,Renê,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Beira-Rio,Internacional
100,7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,D,0.0,2.0,Atl Paranaense,1.0,1.5,47.0,,Alan Patrick,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Beira-Rio,Internacional
101,11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,Bahia,0.9,1.1,44.0,,Alan Patrick,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio,Internacional
102,14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Em casa,V,2.0,1.0,Vasco da Gama,1.6,0.9,47.0,18.044,Alan Patrick,4-2-3-1,Edina Alves Batista,Relatório da Partida,Beira-Rio,Internacional
103,18,2023-07-01,21:00,Série A,Rodada da semana 13,sáb,Em casa,E,0.0,0.0,Cruzeiro,1.8,1.0,54.0,,Gabriel Mercado,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio,Internacional
